shapeName,shapeISO,shapeID,shapeGroup,shapeType,centroid_lon,centroid_lat
Pastaza,EC-Y,780006B84481112392323,ECU,ADM1,-76.87163925131703,-1.7142254090881002
Carchi,EC-C,780006B30899548387252,ECU,ADM1,-78.07521043791816,0.7732551084491563
Loja,EC-L,780006B83348252159319,ECU,ADM1,-79.65267246280511,-4.09484240852877
Zamora Chinchipe,EC-Z,780006B32277993251715,ECU,ADM1,-78.90525219154414,-4.17227330272979
El Oro,EC-O,780006B8093408258889,ECU,ADM1,-79.82536558107755,-3.514533149500253
Esmeraldas,EC-E,780006B31400562589266,ECU,ADM1,-79.21780449956853,0.7176467550476152
Imbabura,EC-I,780006B18414364413556,ECU,ADM1,-78.36595983952911,0.4094010284145881
Sucumbios,EC-U,780006B2045588347602,ECU,ADM1,-76.57401444848408,-0.01063863324504499
Santa Elena,EC-SE*,780006B15798287521285,ECU,ADM1,-80.57657905275312,-2.138715188620566
Santo Domingo de los Tsáchilas,EC-SD*,780006B2576853520044,ECU,ADM1,-79.22499239080744,-0.26198798241344573
Pichincha,EC-P,780006B44300629339188,ECU,ADM1,-78.59548151331143,-0.10548526865905843
Manabi,EC-M,780006B63949328087962,ECU,ADM1,-80.13795249237407,-0.7555758400297742
Azuay,EC-A,780006B24339224838979,ECU,ADM1,-79.14810551338303,-3.021589524881083
Cañar,EC-F,780006B5869423141371,ECU,ADM1,-79.01627864957361,-2.5402122491466717
Guayas,EC-G,780006B56468316684184,ECU,ADM1,-79.87626379875584,-2.107979571907017
Los Ríos,EC-R,780006B68361660427036,ECU,ADM1,-79.4900104329417,-1.3455252570810516
Cotopaxi,EC-H,780006B34708550650195,ECU,ADM1,-78.85964479335847,-0.8612841137421754
Bolívar,EC-B,780006B72413159872158,ECU,ADM1,-79.10648867179344,-1.5915438340576902
Tungurahua,EC-T,780006B23430196387963,ECU,ADM1,-78.51094597823642,-1.2934559214536419
Chimborazo,EC-H,780006B46353723731382,ECU,ADM1,-78.72090667042858,-1.9701909845343788
Morona Santiago,EC-S,780006B74004453472975,ECU,ADM1,-78.00818690929574,-2.5622222711932996
Napo,EC-N,780006B95371609522575,ECU,ADM1,-77.81877824387412,-0.6539735091993857
Orellana,EC-D*,780006B54205869319714,ECU,ADM1,-76.3619782878918,-0.779669743462793
Galápagos,EC-W,780006B54205469685650,ECU,ADM1,-90.90959160615789,-0.5565342325220203
